ID,Author,Comment,Sentimiento,Emoción Dominante
26,@sandramora-gte89,esperemos que la fiscalía siga investigando por que por ahora solo se sabe una pequeña parte de toda la corrupción,positivo,conformidad
27,@leonardolopez-ty4ui8,por una vez que se haga justicia y que todos los implicados caigan,negativo,indignación
28,@raysoto2188,che y los que salieron públicamente a desmentir todo esto tienen que ser juzgados,negativo,indignación
29,@Maria-ft9uz,escuchando de policías jefes involucrados pregunto qué pasó con el adolescente de 15 años muerto a balazos que era otro de los acusadores o testigos quién lo mató,negativo,tristeza
30,@SandraSanchez-gw9sd,me quedo tranquila no todos los fiscales son corruptos y actúan con la impunidad que lo hizo fossati,positivo,conformidad
31,@MrOrsiw,la luc que el votó dice que los delitos sexuales se pagan con cárcel pero como hemos visto en todo el proceso es protegido por ministros y el propio presidente así que capaz que por la presión o el sobre peso no va a prisión terrible el delincuente,negativo,indignación
32,@walternunez9293,en razón de la fuga de traficantes alegando temas de salud el ministro dijo y recalco que el sistema carcelario tiene medios para que se puedan atender supongo que la juega tendrá esto en consideración para no darle tobilleras a penades además está mente en la calle es capas de ultimar a las víctimas el solo echo de estar libre originaria más problemas xicoemosionales a las bictimas cárcel efectiva es lo que corresponde,negativo,indignación
33,@verlalos,es increíble la muy baja autocrítica y de aprendizaje que tienen las autoridades actuales de este país no llama la atención ahora la no resolución del caso de la violación en la fiesta y otras cosas,negativo,indignación
34,@ozurumi,cuando van a entender que los  dias es de prisión preventiva mientras se procesa el caso buen video z,neutral,conformidad
35,@p.s.a.,está metido desde heber y el director del comcar esto ya rebasa los límites,negativo,indignación
36,@silvianobel5013,me preocupa más que los amigos no lo dejen solos porque los amigos son los amigos,neutral,otro tipo de emociones
37,@albertotechera8983,este gobierno tiene el delito qué se puedan imaginarmuy completos y cómo siempre derramando intelecto gracias a los que los votaronson responsables también,negativo,indignación
38,@nairbarrios5967,vergüenza por parte de los políticos,negativo,asco
39,@esperanzaandrade5104,si son amigos de lavida como dicen deben saber bien en que andaba el amigo hay cosas que no se pueden icultar durante tanto tiempo,negativo,indignación
40,@federicobarboza3632,juicio político al presidente ya,negativo,indignación
41,@Inteligencia-Humana,lacalle pou nunca termina de conocer a la gente sus amigos le ocultan cosas debe estar más desorientado que la doris de nemo pobrecito inocente de él,negativo,ironía
42,@erikfrndz7477,zetaaa se te escapo la tortuga no pusiste cuando termina de hablar y lepreguntan niega rotundamente y contesta no jajaja,neutral,otro tipo de emociones
43,@carlosandresgentilealvarez9189,no sólo abusaron de las víctimas sino que también quieren ensuciarlas inventando que han difamado son impresentables totalmente,negativo,indignación
44,@Diego-ts6sl,felicidades a la fiscal y a su equipo un trabajo perfecto todavía ahí algún fiscal que hace el trabajo como debe de ser marche preso violín,positivo,felicidad
45,@MLLA-qc6ng,hicieron lo imposible por tapar y esconder las barbaridades que hizo este tipo y no pudieron es imposible creer que sus amigos no estaban al tanto de tanta aberración hasta el policía de maldonado debe sentir de q por fin se hizo justicia después de ser pisoteado,negativo,indignación
46,@agustinolivera3335,los mejores cinco años por favor que mafia dios nos libre de esto,negativo,ironía
47,@nildaangelamarquez,penadés estaba tranquilo con que con las influencias que tenía podía zafar con comodidad pero no lo pudieron ayudar porque ya sería demasiado con lo de astesiano lo de marset lo del puerto y todo lo demás a cuestas ya era demasiado habrán dicho tenemos que sacrificar a penadés porque si no nos vamos al tacho y allá marchó a donde no se lo esperaba felicito a la fiscal que no se amilanó frente al poder que agrega su granito de arena para que podamos seguir creyendo en la justicia protegió a las víctimas contra viento y marea cuando todos esos buitres pedían verles las caras y saber sus nombres movieron influencias para salvar al degenerado a cómo diera lugar el mismo penadés usó sus recursos y conocimientos para tratar de salvarse pero no lo logró los dos degenerados fueron a la cárcel porque el tal mauvecin es también un degenerado al servicio de otro degenerado proveyendo víctimas al tal ex senador vaya uno a saber cuántas víctimas más habrá que no se animaron a declarar por miedo o por vergüenza ahora están en la cárcel de florida penadés pide prisión domiciliaria y quizá la consiga debido a sus amistades después aparecerá otro mauvecin que le lleve los menores a domicilio porque el degeneramiento no lo va a perder de un día para otro,negativo,indignación
48,@Marianela404,presidente estamos con hipotermia permítanos una frazadita,neutral,ironía
49,@waldemarvaldez7129,felicitaciones a zin tv tambien a hl qp por la difusion de las denuncias de romina celeste,positivo,felicidad
50,@eldacastrocastro350,me imagino que irá a visitarlo hace  años q lo conoce no puede dejarlo ahora solo,neutral,otro tipo de emociones
51,@fabiangonzalezchiruchi36,cuquito tenés unos amigos muy originales y dignos de ser defendidos menos mal que son tus amigos no quiero saber lo que son tus enemigos,negativo,indignación
52,@yolauno1,el tiempo pone todo en su lugar,neutral,conformidad
53,@juangrido8910,francamente lamentable ojalá quedé como antecedente para que respetar a los menores,negativo,tristeza
54,@nomientanmas2507,ayy luchito se te agarraban el celular lo acompañabas,negativo,ironía
55,@user-vj3sn8xq1t,mufasa tendría que pedir disculpas por respaldar a un violador,negativo,indignación
56,@mabeljuarez8319,gracias a dios hay justicia,positivo,felicidad
57,@TheCrespo,con mucha suerte se come una domiciliaria igual quiero creer que la justicia es igual para todos pero en este pais está cada vez mas dificil de creer en esa utopía,negativo,tristeza
58,@Tricolorbolso1,los mejores  años de tu vida,negativo,ironía
59,@user-em5xz5br8r,si fuese cualquier hijo de vecino ya estaria en el comcar a este le dan un par de añitos en la casa y ya esta es parte de la coorporacion politica manejan todo a su antojo,negativo,indignación
60,@eduardoc1580,el resumen que pudo haber hecho telemundo,neutral,otro tipo de emociones
61,@beaolivera758,excelente resumen yp todas las personas q d una u otra forma no les temblo el pulso p hacer justicia grs zintv y nos refresca muchas cosas,positivo,felicidad
62,@GermanAndresVillar,tanbien detenido el director del ex comcar se fue todo al carajo,negativo,indignación
63,@Silvana.L,luis y sus amigos traicioneros,negativo,enojo
64,@CristinaOrsi-to7yo,asombro tristezaverguenza ajena por estos profesionales de baja estimapor mi una simple jubilada abuela que de solo pensar me da rabia por estos politiqueros y pensando en los chicos pobres que tenemos en el pais propensos a caer en éstas porquerías,negativo,indignación
65,@gabrielcapelorosadilla4897,el señor z madrugando y haciendo tarea todavia quedan  y pico de dias si habrá material aun,neutral,conformidad
66,@ml2082,esa es una verdadera fiscal,positivo,conformidad
67,@totuskhanlife3934,y ahora parece que no puede estar preso porque tiene problemas de salud ya sabíamos todos que iban a aparecer los temas de salud y en el peor de los casos una cárcel vip,negativo,indignación
68,@jorgedaluz5387,desgraciadamente no es el únicodentro del partido nacional hay varios como ésteel gran problema que tenemos en uruguay es el periodismo que no investiga nada lanata quiso en su momento hacerlo y lo corrieron,negativo,indignación
69,@albanieves3348,el senador y el profesor a los tiburones ellos sí harán justicia,negativo,enojo
70,@anamariaataycuenca8999,la justicia trabajo muy bien es un tema personal que está persona abuso de su poder político,positivo,conformidad
71,@juliomoreira5218,que lindo país tenemos,negativo,ironía
72,@casafardo,porque no pusieron esa fiscal para el caso astesiano,negativo,indignación
73,@marcelonunez8666,techera que nunca nos falte,positivo,felicidad
74,@sinnombre9368,usar el poder político para acomodar defender y privilegiar a su gente afínblancos siendo blancos,negativo,indignación
75,@fernandoreinoso1986,lacalle y heber intocables,negativo,indignación
76,@jorgepintos4304,los  mejores años presidente adicto ministro alcoholico encubridor senador violador argimon con cuidate sos jóven bianchi marcando periodistas es ése,negativo,asco
77,@elnacho3174,hay que hacer pancartas y volantes con la lista de delitos de penades si resulta condenado para la campaña de,neutral,otro tipo de emociones
78,@ramonberrey2150,una joyita,negativo,ironía
79,@albanieves3348,muy fuerte la corrupción hasta la policíaya no se puede confiar en nadie si fueran sus hijos o hijas,negativo,tristeza
80,@Veronica-qr4xt,gracias zintv grandes siempre,positivo,felicidad
81,@javierperezperez8646,minutos dura el informe cada vez menos z no podés negar que sos uruguayo el mínimo esfuerzo,negativo,ironía
82,@fernandoibanez8719,este gobierno está hasta las manos de corrupción,negativo,indignación
83,@apolo1881,zin tv haciendose el caldo gordo con penades sartori y astesiano pero jamás los vi haciendo un videíto de gerardo nuñez cendoya ni siquiera de sendic se ve que miran las cosas cuando les conviene yo me pregunto eso no es incitación de odio tambien porque el que no es perteneciente la fa jamás va a votar al fa por ver éstos videitos al contrario,negativo,indignación
84,@mma1955,lo van a soltar en un rato pero me parece lo más justo si cometió un delito q pague como cualquier ciudadano,neutral,conformidad
85,@charliepasos7676,los caballeros de la cama redonda impecable zintv,positivo,felicidad
86,@pendondato,esperaba con ansias a zintv,positivo,conformidad
87,@aguarzaguet.gestaltcoach,sería un mal amigo si no le creo by luish,neutral,otro tipo de emociones
88,@pabloandrescastroportillo8117,como disfruto este video gracias gracias zin tv x todo lo que nos das,positivo,felicidad
89,@martasanchez5877,que vergüenza el presidente y el ministro del interior hacer declaraciones de ese tipodeberian guardar silencio,negativo,indignación
90,@josefinafuentes8408,grande carlos techera excelente trabajo,positivo,felicidad
91,@nataliasilvera2994,que dios se apiade de el,negativo,tristeza
92,@NachoJoker,todos los que lo apoyaron deberían ir presos,negativo,indignación
93,@amaliag.delpuerto4673,qué vergüenza,negativo,asco
94,@Maria-ft9uz,después piden confiar en la policía,negativo,ironía
95,@user-oi5ui1tp5i,el alcanse del mal no tiene fin es inreparable...,negativo,tristeza
96,@jorgeacosta4315,tienen que embargarle todo al violador y dárselo a las víctimas,negativo,enojo
97,@susanabalbuena7870,se probó ante la justiicccciiiiiaaaapreso yaaaaaauna mancha xra los multifrutas,negativo,indignación
98,@leidyperrone5085,pero esa preventiva es para seguir investigando xq se supone q luego se los procesos con prisión,neutral,conformidad
99,@mariasilveira6509,por fin justicia ojo ahora no se les escape jjje o lo suelten por supuesta enfermedad jjje,negativo,ironía
100,@rodrigocardozo6423,cada ves que usan la misma receta de dar una conferencia al otro día es cuestión de esperar y terminan en cana bueno preso no terminan porque no hay una fuerza política que los descrimine por violador o ladrones en todos los micrófonos,negativo,indignación
101,@user-qu6ys3dx3z,lo que da miedo y verguenza ajena son las declaraciones del sr presidente es un amigocomo es el dicho dime con quien andas y te dire quien eres todos corruptos de la misma calaña,negativo,indignación
102,@teresacasana4738,detirenlos para rl conmcar para que se diviertan los presos asi cienten el terror que sintieron las victimas,negativo,enojo
103,@hugorivero8347,y estos personajes son los que dirigen nuestro país vayan a saber lo que no hacen estos políticos de mierda,negativo,asco
104,@gercharrua7170,si fuera un país serio y investigasen por enriquecimiento ilícitos abría que hacer nuevas cárceles para políticos y judiciales,negativo,indignación
105,@matiasleonelgarridoreyes1205,gracias señor z ojalá la gente tenga memoria de todo esto el gobierno más corrupto de la historia del país,negativo,indignación
106,@serenalavina7823,la justicia lo probó los que tanto pedía renuncien por favor,negativo,conformidad
107,@florbatista3975,ahora pide prision domiciliaria por enfermedad,negativo,ironía
108,@Gerardo.Straneo.20,así estamos gobernados por personajes que ponen el amigo por sobre todas las cosas no se enteraron que son y están en un lugar que todo lo que digan o hagan determina inmediatamente consecuencias buenas o malas con propios y extraños los propios sus subalternos y gobernados y no respetan su investidura de la cuál el pueblo que los votó cifró en ellos las veces que salieron a apoyar al amigo derraparon y demostraron que lo que criticaban de otros resultando ellos igual o peores o peor aún defendieron a ojos cerrados personajes del cuál él le entregaba la seguridad de su familia siguen sin aprender la virtud es que salen en apariencia indemne de todo el tiempo dirá la verdad de las cosas,negativo,indignación
109,@aliciarodriguez7801,tienen tanto material de nuestras autoridadesellos no me representan,negativo,tristeza
110,@cristianfernandez6990,es así siempre entre ellos se tapan los crimenes,negativo,indignación
111,@maurof1975,en mi vida me toco ver todo lo que sucede con este gobierno la verdad que es muy loco todo,negativo,tristeza
112,@alcidesbenitez3707,espero dé corazón que gane quien gané las próximas elecciones se de derecha o de izquierda o lo que sea se investigue todo lo de este nefasto gobierno y porque cinco años toda la corrupción y solo un poquito de personas están en prisión,negativo,otro tipo de emociones
113,@hebertvillalba1817,me parece insolito que con  delitos graves si  delitos graves lo manden a florida a una carcel bip con todos los lujos y comodidadesa ver quien se hace responsable de esta verguenza eso solo pasa solo aca en este bendito pais con estos pillos,negativo,indignación
114,@emilceperaza3939,ojalá el la cárcel le den de su medicina,negativo,enojo
115,@DanielGonzalez-qf7zv,da penapenades,negativo,tristeza
116,@jorgeherrera1360meeetaaalCien,seguirá respaldando el kukito y heber a penades porque dice que lo conoce hace  años,negativo,ironía
117,@nadiayamila6171,por fin una fiscal decente el gobierno impresentable,negativo,felicidad
118,@RaulGiacomin-eq6ff,lei un mensage que comparto a medias si se trata de reninciar tendrian que deberian todos irse el primero el presidente de algunos mio no,negativo,indignación
119,@paulo_hernandez,heber pinochin close the ort,negativo,ironía
120,@elorejano57,los otros que deberían ir presos son heber y el peladilla,negativo,enojo
121,@alvaroramos6809,este personaje hace años vive del pueblo y de este narco partido es el mas inocente que ya es decir,negativo,indignación
122,@sergio8939,esta valiente fiscal lastima que no estuvo en el caso astesiano,positivo,conformidad
123,@marcelosantana6938,yo lo conozco es mi amigoy ahora,neutral,otro tipo de emociones
124,@nairbarrios5967,las dos caras de heber,negativo,indignación
125,@mariadelpilarelhordoy8421,a quién le va a creer dijo cuquito a la víctima cuquito a la victimaaaaass,negativo,ironía
126,@mariadeleon465,bienla justicia ya lo comprobó ahora a la cárcelcon un fuerte abrazo y un besito en la frente penadas,negativo,ironía
127,@user-mk2dh7cw3m,cuando es una mujer la qué abusa ay lo esconden hasta el fin las denuncias falsas no existen,negativo,indignación
128,@ivanmoreno8660,delitos pero quien lo defendió el abogado de los simpsons,negativo,ironía
129,@gabrielgonzalez-rh2vi,qué le darán un año de prisión domiciliaria,negativo,indignación
130,@hectorlemos1679,si esta fiscal hubiese tenido el caso asteciano hoy estábamos con presidente interino,negativo,otro tipo de emociones
131,@sheyllavicente7488,es una vergüenza hay que pedir la renuncia de el ministro del interior y del presidente debería renunciar a la banda presidencial y dejar argimon como presidenta por que el fallo mucha corrupción a su alrededor no recuerdo un gobierno con tantas renuncias y a tras de cada una de ellas un acto de corrupción esto es una locura,negativo,indignación
132,@marcosc11000,los amigos de luisito cuantos van ya,negativo,indignación
133,@LIBITUM0,un desastre los que votaron estos personajesen definitiva son ellos los que tienen la culpa nunca vi tanta corrupción en mis años,negativo,indignación
134,@gonzalosilva2225,esto tiene que recorrer el mundo,positivo,conformidad
135,@victoriaacevedo8134,cuando proteges a los lobos sacrificas a las ovejasuna vergüenza este caradura al comcar se sabía el señor se va a la chacra en florida,negativo,indignación
136,@fernandotexeira7817,y sr z como está la novela gubernamental al parecer los principales protagonistas están cayendo a pero no sé froten las manos que no termina y no se enojen si los malos terminan protegidos y el pueblo esperando justicia saludos,negativo,indignación
137,@ivanzapee4541,ya los van a hacer princesas en la cárcel a estos no duras ni un minuto solo en en concar penades,negativo,asco
138,@ml2082,y siguen apareciendo delincuentes corrupción naaa,negativo,indignación
139,@marisapastrana8714,y siguen agregando intelecto,negativo,ironía
140,@AmazingStuff-ot9fr,si le cree al amigo xq es amigo entonces hay amiguismo,negativo,otro tipo de emociones
141,@paulsotelo,luis tendria que renunciar y escudarse diciendotrate de buscar gente que piense con el corazon y que le ponga intelecto jajajajaja que vergüenza todo el gobierno esteseguimos siendo tercermundistas porque los politicos no se toman las cosas enserio y en este gobierno es mas claro echale aguasolo oiensan en llenarse los bolsillos,negativo,indignación
142,@lucianolopez3073,igual me preocupa los hombres que levantan niñas en las avenidas hay un informe de unicef y acá en uruguay no hacen nada,negativo,tristeza
143,@sergiobirriel1040,por fin y si ya no se podia tapar mas mucha gente victimas cuantas pruebas mas son todos malos ellos son buenos tas loco en breve sale delgado diciendo que es culpa del frente o del antel arena jajja fuerza a las victimas y que se pudra en la carcel por chancho que triste pobres los niños loq tuviern que pasar ya les queda poco a estos,negativo,indignación
144,@graciasweb,información y justicia aunque es sólo una noción esto último,positivo,conformidad
145,@Inteligencia-Humana,y heber qué decir penadés es tu amigo cercano ahora desconfío que vos tengas historias ocultas tan oscuras como la del degenerado de tu amiguito,negativo,indignación
146,@silviamendez4991,de que se van a disfrazar ahora zin palabras,negativo,indignación
147,@ZaloUy,y los amigos que dicen ahora,negativo,indignación
148,@LIBITUM0,muy bien la fiscal,positivo,conformidad
149,@fernandadelfino8401,es terrible y solo días preso a estos degenerados y capaz que robas una manzana y vas preso años o si la robas de un árbol en un predio te pueden matar justificados por la luc que triste que para la justicia hsya hijos y entrenados,negativo,tristeza
150,@danielhuelmo5807,eso es una fiscal con ovarios,positivo,conformidad
151,@betianaemilia7270,es todo muy grave,negativo,tristeza
152,@EduardoPerez-qi6eq,ahora tiene diabetes problemas al corazon mmmm,negativo,ironía
153,@user-tu5me6cs9q,ira meses preso con lo comemocos que son los jueces y las pobres condenas que tiene uru asi esta el pais,negativo,indignación
154,@javilutotal,espero que en algún momento esto caiga por su propio peso si hubiese sido el frente amplio mamita manijaso,negativo,ironía
155,@joaquindalessio,la justicia es lenta pero llega,neutral,conformidad
156,@miltonsteciuk4829,la coalisión de gobierno es un gran pozo negro al cual la barométrica hace rato no atiende,negativo,indignación
157,@user-mk2dh7cw3m,si este país fuera españa ya estaría preso por nada,negativo,ironía
158,@OmarFalero,es lindo porque se inmolan solos tremendo y terrible en fila india pa la cárcel,negativo,ironía
159,@rafaelurriza8464,todos persos deberían estar,negativo,enojo
160,@silvianobel5013,pero siguen siendo amigos con quienes eran sus amigos,neutral,conformidad
161,@madelcarmencorbo8127,todos los años que éste tipo estuvo en el parlamentome dirán que nadie sabía nada,negativo,indignación
162,@user-pr6lv5ul1j,ira al comcar o al penal de libertad o lo van a mandar a una chacra de lujo,negativo,ironía
163,@oscarmauricio1820,otro intelectual en el fuego lamentable,negativo,tristeza
164,@josevt6511,es increíble cómo dos figuras tan relevantes del gobierno salieron a defender primero porque representan instrucciones de la república sus vínculos personales quedan de lado y ademas porque era vox populi en muchos ambientes ya habiam existido problemas con un oficial y el muchaco en cuestión y se sabian cosas,negativo,indignación
165,@jfrusciante6804,a pesar del encubrimiento de su colectividad política la complicidad del presidente y la operación de desviacion desde el ministerio del interior se llegó al fondo del asunto a pesar de todo lo que hicieron para taparlo,negativo,enojo
166,@faloperosdecentes3924,ya está en canadá,neutral,otro tipo de emociones
167,@PavlvsArobvs636,ahora va a poder escoger nuevos novios en prisión,negativo,ironía
168,@JonathanNunezUy,zumos una familia feliz,positivo,ironía
169,@gonzalos5713,muy bueno que vayan presos pero días quiero creer que es la preventiva hasta tener una sentencia,neutral,conformidad
170,@domogeodesico,penadiópenadéspenadápenadiez,negativo,ironía
171,@erikfrndz7477,meses y pafuera este pa la campaña esta son tan caretas,negativo,indignación
172,@danielmederostabeira5708,por lo menos si va en cana ya sabemos quienes son los amigotes que lo van a visitar y en cualquier momento todos lo acompañan aunque ahora todos le van a disparar,negativo,ironía
173,@diegomontero6836,no entiendo algo solo días de cárcel o falta alguna condena,negativo,otro tipo de emociones
174,@esteban6580,no mataron a uno que iba a declarar tambien,negativo,tristeza
175,@YuyoLeites-it2vq,va a terminar con una simple prision domicilaria nada mas que politico ha ido a la carcel ninguno,negativo,indignación
176,@user-ij7eh3mc4y,martes negro para el gobierno más corrupto de la historia y un día aciago para la democracia y el pueblo,negativo,enojo
177,@mariososa8578,grande zeta,positivo,felicidad
178,@damianarbelo,capaz que estoy mal yo pero días de prisión no es poco para todo lo que supuestamente hizo,negativo,otro tipo de emociones
179,@danieldearrascaetanunez9626,zin tv este video es un avant premier en relación a todo lo que sucedió,neutral,otro tipo de emociones
180,@two13times,treinta años en el parlamento y nunca nadie se dio cuenta de ninguna de las atrocidades que cometió,negativo,indignación
181,@lauraramilo4568,siempre hay que mirar la mitad del vaso lleno ahora gustavito no va a pagar le van a dar pa que tenga y guarde a no ser que vaya a un lugar vip que tampoco me extrañaría,neutral,ironía
182,@michaelreyes5923,y este señor tambien acabara en un  estrellas por prision,neutral,ironía
183,@malabartistacreaciones7176,ojalá se cumpla la prisión para éste pervertido estos señores gozan de privilegios no es un pela gato cualquiera no es juan pueblo si no me equivoco con los señores del caso oceano nunca pasó nada por qué porque esta toda la cupula de poder del estado involucrada y nunca les van a tocar un pelo pero bue son episodios,negativo,indignación
184,@gonzaloacostasaravia7388,ojo con eso,neutral,otro tipo de emociones
185,@JonathanNunezUy,me pueden hacer la suma de delitos,neutral,otro tipo de emociones
186,@matiasartidoro6432,pre sos,neutral,otro tipo de emociones
187,@fuerzalibre2070,esa gente son líderes de nuestra soberanía nananaan,neutral,ironía
188,@claudiohernandez4568,el presidente ya pidió permiso al parlamento para viajar a estados unidos costumbre de borrarse cuando se incendia el rancho,negativo,indignación
189,@Veronica-qr4xt,victor jara presente,neutral,otro tipo de emociones
190,@ml2082,presos todos,negativo,enojo
191,@Jorge-sd1dq,the banana republic of uruguay,neutral,ironía
192,@nataliasilvera2994,siniestro,negativo,asco
193,@rc137rc5,que desastre otra vez en el podio,negativo,tristeza
194,@JorgeMartinez-tc9rj,completito gustavo escuchar el respaldo del presidente y del ministro del interior lamentable,negativo,indignación
195,@pablotanito6394,si hay pelitoeso dijo el pistolita loca,neutral,ironía
196,@wgem5398,días por todos esos delitos de abusos le sale regalado cuando a cualquier ladrón de porquerías le dan un año mínimo o sea  días justicia injusta,negativo,indignación
197,@eduardorolan7255,buenazo,positivo,felicidad
198,@rodrigomoreno907,che son un canalazo pero como sugerencia constructiva a veces la duermen un poco de mas con los arranques del video con carlitos techera y el otro boludo sacando el auto,neutral,otro tipo de emociones
199,@maurofernandez5175,penades pidio estar preso en el inisa,negativo,ironía
200,@albaarias8720,bueno hablo la justicia y yo creo en la justicia de mi pais estos episodios no deberían suceder no hacen más qué debilitar la democrático a otra cosa bobrecito penades está enfermito quiere pricion domiciliaria qué tipo tan caradura,negativo,indignación
201,@JoseRodriguez19866,penadas,neutral,otro tipo de emociones
202,@gustavosalvatierra6511,heber lo seguirá apoyando,negativo,indignación
203,@aleeejo69,días es una joda  delitos,negativo,enojo
204,@EpicExdeath,las nubes pasan el azul queda deberían renunciar todos después de esto pero que van a renunciar si están atornillados a la silla desde hace generaciones,negativo,indignación
205,@marcelosustant1142,heber la difamación llego a su fin,negativo,conformidad
206,@fervall2878,exelente la fiscal,positivo,felicidad
207,@maxioficialyt5545,los mejores  años de tu vida qué horroro habrán querido decir los peores  años de tu vida,negativo,ironía
208,@gracielagonez4260,ripoll casas y victoria defendiendo lo indefendible,negativo,indignación
209,@JorgeRodriguez-ie5xb,qué sigue queda bastante tiempo aún,neutral,otro tipo de emociones
210,@danielarossi943,tremendo por suerte no zafó a pesar del respaldo abuso violencia corrupción acomodo etc no le falta nada a este gobierno que se vayan ya que daño le hicieron al país el campechano el transparente lacalle,negativo,indignación
211,@enmiscarrozass4654,por que no le dan perpetua hay que hacer una marcha,negativo,indignación
212,@Leo-ng2bh,el último que cierre la puerta jajajajjs,neutral,ironía
213,@rocamar9632,días por semejantes abusos,negativo,indignación
214,@Martinfuertes79,chantas mafiosos corruptos violines q mas,negativo,indignación
215,@TheJhonjhonson,quién dijo ahhhh,neutral,otro tipo de emociones
216,@AlbertoRodriguez-in2hd,vamos a ver si se recupera y no vuelve a reincidir en su conducta de violador,negativo,tristeza
217,@alvaroperez9794,pocas ganas de laborar zintv  min nomás para el hecho más importante de los últimos años,neutral,otro tipo de emociones
218,@hectortozini2913,no salio la sentencia y udsya lo encarcelantienen una mala leche imcomparable,negativo,enojo
219,@4cuerdasjmp958violin,deded de delictivas obvio,negativo,indignación
220,@sebastianmato1137,corrupcion total,negativo,indignación
221,@omargarcia7598,que frota techera entre dedos,negativo,ironía
222,@diegomontero6836,estaba esperando esto,neutral,conformidad
223,@marcelonapoli8215,pre sos cómo porqué,negativo,otro tipo de emociones
224,@matiasbenitez6057,el director del concar era taroco o antin,negativo,indignación
225,@nahuelcaniella8579,el terror de los blancos zintv,negativo,enojo
226,@EduardoGarcia-fx9rt,bota por un politico,negativo,indignación
227,@reikirelax5670,inocente luisito,neutral,ironía
228,@paulobassman,bochanón muero con este término,positivo,felicidad
229,@geradocigaran7530,hasta las pelotas unos cuantos,negativo,enojo
230,@reginaldocorbo279,once cargos y  días de prisión entre los cargos  de abuso sexual y  de abuso especialmente agrabado  días disculpen que me reitere pero  días es incomprensible bien que le toque prisión pero no parece que se mida parejo,negativo,indignación
